Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,7289.0,18.0,346.0,12604.0,0.1,20628.35200000002,0.0,0.0,2060.7685878276825,,,,,,,,,,,,,,,,,,,,,8423.950631490701,5159.784767174572,17749.14562360581,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,7579.0,19.0,290.0,12894.0,0.1,18887.905800000015,0.0,0.0,2089.261870622635,,,,,,,,,,,,,,,,,,,,,6999.883600571026,5085.530408043544,16891.706076280898,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,7798.0,20.0,219.0,13113.0,0.1,13858.402400000012,0.0,0.0,2110.9576609134674,,,,,,,,,,,,,,,,,,,,,5402.291958628594,3676.7013508940763,12700.689138648499,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,345.0,1.0,345.0,13458.0,0.1,19784.106300000014,0.0,0.0,3354.5955448150635,,,,,,,,,,,,,,,,,,,,,8742.850020023825,4676.775167692518,16801.409059802343,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,1403.0,2.0,1058.0,14516.0,0.1,60249.23400000002,0.0,0.0,3459.628011226654,,,,,,,,,,,,,,,,,,,,,21279.27024870376,10677.168960649013,37811.35096745536,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,1467.0,3.0,64.0,14580.0,0.1,3883.052099999999,0.0,0.0,3465.972883939743,,,,,,,,,,,,,,,,,,,,,1552.272771042574,1169.9188471208474,3791.2854222122764,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,1781.0,4.0,314.0,14894.0,0.1,16730.96470000002,0.0,0.0,3497.644656419754,,,,,,,,,,,,,,,,,,,,,6916.090442479294,4198.913341839897,14588.474661910659,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,2711.0,5.0,930.0,15824.0,0.1,59336.01489999998,0.0,0.0,3589.8441207408905,,,,,,,,,,,,,,,,,,,,,22762.657239181666,11009.987930583547,38243.191807985204,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,3051.0,6.0,340.0,16164.0,0.1,20385.853100000008,0.0,0.0,3623.209567308426,,,,,,,,,,,,,,,,,,,,,8527.063041556541,5203.998353345719,17521.677499191657,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,4087.0,7.0,1036.0,17200.0,0.1,58867.659499999994,0.0,0.0,3726.220245361328,,,,,,,,,,,,,,,,,,,,,21818.515191933628,10420.370283644306,36336.314052948655,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
